conceptScheme Url,http://w3id.org/permafrost/v/cperslandforms/scheme,,,,,,
dct:title,CPERS Landforms,,,,,,
skos:definition,Landform classes for the Canadian permafrost electrical resistivity survey database,,,,,,
dct:description,Landform classes for the Canadian permafrost electrical resistivity survey database,,,,,,
dct:identifier^^xsd:token,cperslandforms,,,,,,
skos:prefLabel,CPERS Landform List,,,,,,
owl:versionInfo,10,,,,,,
dct:source^^xsd:anyURI,https://data.permafrostnet.ca/cpers/upload.html,,,,,,
dcterms:created^^xsd:dateTimeStamp,2022-10-24T00:00:00Z,,,,,,
dcterms:modified^^xsd:dateTimeStamp,2022-10-24T00:00:00Z,,,,,,
,,,,,,,
URI,skos:prefLabel@en,skos:altLabel@en,skos:definition@en,dct:references,dcterms:identifier^^xsd:token,owl:versionInfo,dct:source^^xsd:anyURI
http://w3id.org/permafrost/v/cperslandforms/activelayerfailure,Active layer failure,,A general term referring to several forms of slope failures or failure mechanisms commonly occurring in the active layer overlying permafrost.,https://doi.org/10.4224/20386561,activelayerfailure,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/alas,Alas,,A large depression of the ground surface produced by thawing of a large area of very thick and exceedingly ice-rich permafrost.,https://doi.org/10.4224/20386561,alas,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/blockfield,Blockfield,,A blockfield,,blockfield,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/debrisflow,Debris flow,,Fast-moving landslides containing water-laden masses of soil and fragmented rock,https://en.wikipedia.org/wiki/Debris_flow,debrisflow,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/debriscoveredglacier,Debris-covered glacier,,Glaciers with significant amounts of supraglacial debris,,debriscoveredglacier,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/drainedlakebasin,Drained lake basin,,A drained lake basin,,drainedlakebasin,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/flatterrain,Flat terrain (undifferentiated),,Flat terrain,,flatterrain,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/floodplain,Flood plain,,"an area of land adjacent to a river which stretches from the banks of its channel to the base of the enclosing valley walls, and which experiences flooding during periods of high discharge.",https://en.wikipedia.org/wiki/Floodplain,floodplain,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/frozendebrislobe,Frozen debris lobe,,A frozen debris lobe,,frozendebrislobe,10,https://data.permafrostnet.ca/cpers/upload.html
http://w3id.org/permafrost/v/cperslandforms/glacierforefield,Glacier forefield,,The region between the current leading edge of the glacier and the moraines of latest maximum,https://en.wikipedia.org/wiki/Glacier_foreland,glacierforefield,10,https://data.permafrostnet.ca/cpers/upload.html
