ConceptScheme URI,http://w3id.org/permafrost/v/nrcglossary/scheme,,,,,,,,,,,
dct:title,NRC Permafrost Glossary,,,,,,,,,,,
dct:description,Glossary of permafrost and related ground-ice terms,,,,,,,,,,,
dct:identifier^^xsd:token,ipaglossary,,,,,,,,,,,
"dct:references(separator="";"")",https://nrc-publications.canada.ca/fra/voir/objet/?id=549123c3-092c-4fca-8dea-99d53eac06dd;https://nrc-publications.canada.ca/eng/view/object/?id=69fb8993-1baa-4225-b33a-6a02341d383d,,,,,,,,,,,
skos:prefLabel,NRC Permafrost Glossary,,,,,,,,,,,
skos:definition,Glossary of permafrost and related ground-ice terms,,,,,,,,,,,
dcterms:created^^xsd:date,2022-10-25,,,,,,,,,,,
dcterms:modified^^xsd:date,2022-10-25,,,,,,,,,,,
owl:versionInfo,1,,,,,,,,,,,
dct:source^^xsd:anyURI,https://doi.org/10.4224/20386561,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
URI,skos:prefLabel@en,skos:prefLabel@fr,skos:definition@en,skos:scopeNote@en,"skos:altLabel@en(separator="","")","skos:hiddenLabel@en(separator="","")",skos:prefLabel@fr,dcterms:identifier^^xsd:token,"dct:references(separator="";"")",foaf:img^^rdf:resource,"foaf:depiction^^rdf:resource(separator="";"")",dct:source^^xsd:anyURI
http://w3id.org/permafrost/v/nrcglossary/t0001,active air-cooled thermal pile,,A foundation pile on which a cold air refrigeration system has been installed to remove heat from the ground.,"The refrigeration system may be fastened to, or form part of the pile or, if the pile is a sealed unit (e.g. steel pipe), the pile itself may serve as both a heat-removal device and a structural unit.",,,,t0001,,,,https://doi.org/10.4224/20386561
http://w3id.org/permafrost/v/nrcglossary/t0002,active construction methods in permafrost,,Special design and construction methods used for engineering works in permafrost areas where permafrost degradation cannot be prevented.,"Two main approaches are possible. Unfavourable foundation materials can be thawed and compacted or replaced with more suitable materials before the structure is erected. Alternatively, the foundations and structure may be designed to accommodate any thaw settlement that will occur.",,,,t0002,,,,https://doi.org/10.4224/20386562
http://w3id.org/permafrost/v/nrcglossary/t0003,active ice wedge,,An ice wedge that is growing as a result of repeated (but not necessarily annual) winter cracking.,Active ice wedges developed in mineral soil occur primarily in areas of continuous permafrost.,,,,t0003,,,,https://doi.org/10.4224/20386563
http://w3id.org/permafrost/v/nrcglossary/t0004,active layer,mollisol ,The layer of ground that is subject to annual thawing and freezing in areas underlain by permafrost (see Figure 2).,,,,,t0004,,,,https://doi.org/10.4224/20386564
http://w3id.org/permafrost/v/nrcglossary/t0005,active-layer failure,,A general term referring to several forms of slope failures or failure mechanisms commonly occurring in the active layer overlying permafrost (see Figure 21a).,These include detachment failures but not retrogressive thaw slumps and thaw slumping since these involve permafrost.,skin flow,,,t0005,,,,https://doi.org/10.4224/20386565
http://w3id.org/permafrost/v/nrcglossary/t0006,active-layer thickness,,The thickness of the layer of the ground that is subject to annual thawing and freeing in areas underlain by permafrost.,"The thickness of the active layer depends on such factors as the ambient air temperature, vegetation, drainage, soil or rock type and total water content, snowcover, and degree and orientation of slope. As a rule, the active layer is thin in the High Arctic (it can be less than 15 cm) and becomes thicker farther south (1 m or more). The thickness of the active layer can vary from year to year, primarily due to variations in the mean annual air temperature, distribution of soil moisture, and snowcover. The thickness of the active layer includes the uppermost part of the permafrost wherever either the salinity or clay content of the permafrost allows it to thaw and refreeze annually, even though the material remains cryotic (T < 0�C). Use of the term ""depth to permafrost"" as a synonym for the thickness of the active layer is misleading, especially in areas where the active layer is separated from the permafrost by a residual thaw layer, that is, by a thawed or noncryotic (T> 0�C) layer of ground.",,,,t0006,,,,https://doi.org/10.4224/20386566
http://w3id.org/permafrost/v/nrcglossary/t0007,active liquid refrigerant pile,,A foundation pile on which a liquid coolant refrigeration system has been installed to remove heat from the ground.,"The refrigeration system may be fastened to, or form part of the pile or, if the pile is a sealed unit (e.g. steel pipe), the pile itself may serve as both a heat-removal device and a structural unit.",,,,t0007,,,,https://doi.org/10.4224/20386567
http://w3id.org/permafrost/v/nrcglossary/t0008,active rock glacier,,"A mass of rock fragments and finer material, on a slope, that contains either an ice core or interstitial ice, and shows evidence of present movement.",Active rock glaciers possess steep fronts with slope angles that may exceed the angle of repose. Gradual elimination of such oversteepening of the frontal portion may suggest some movement long after the ice has melted and the main body of the rock glacier has stopped moving.,,,,t0008,,,,https://doi.org/10.4224/20386568
http://w3id.org/permafrost/v/nrcglossary/t0009,active thermokarst,,The process by which characteristic landforms are currently developing as a result of thawing of ice-rich permafrost or melting of massive ice.,The occurrence of active thermokarst indicates the presence of disequilibrium permafrost.,,,,t0009,,,,https://doi.org/10.4224/20386569
http://w3id.org/permafrost/v/nrcglossary/t0010,adfreeze/adfreezing,cong�lation adh�rente ,The process by which two objects are bonded together by ice formed between them.,"Adfreezing is the process that anchors piles or buried foundations in permafrost, so that they can be unaffected by frost heave occurring in the active layer.",frost grip ,,,t0010,,,,https://doi.org/10.4224/20386570
http://w3id.org/permafrost/v/nrcglossary/t0011,adfreeze strength,,The tensile or shear strength which has to be overcome to separate two objects that are bonded together by ice.,"The term is usually used to describe the resistance to the force that is required to separate frozen ground or an ice mass from an object (frequently a foundation unit) to which it is frozen. The shear stress required to separate an object from frozen ground is frequently referred to as the ""tangential adfreeze strength"".",,,,t0011,,,,https://doi.org/10.4224/20386571
http://w3id.org/permafrost/v/nrcglossary/t0012,aggradational ice,,The additional ground ice formed as a direct result of permafrost aggradation (see Figure 10a).,"Ice lenses form seasonally, especially in the lower part of the active layer, and can be incorporated into the permafrost if they do not melt over a period of years. ",,,,t0012,,,,https://doi.org/10.4224/20386572
http://w3id.org/permafrost/v/nrcglossary/t0013,air freezing index,,The cumulative number of degree-days below 0�C for the air temperature during a given time period.,The air freezing index differs from the corresponding surface freezing index. (see n-factor).,,,,t0013,,,,https://doi.org/10.4224/20386573
http://w3id.org/permafrost/v/nrcglossary/t0014,air thawing index,,The cumulative number of degree-days above 0�C for the air temperature during a given period.,The air thawing index differs from the corresponding surface thawing index. (see n-factor).,,,,t0014,,,,https://doi.org/10.4224/20386574
